ID,NAME,TOTPOP_CY
0101,Aba South,607890
0102,Ukwa East,82686
0103,Umuahia South,197772
0104,Arochukwu,240840
0105,Bende,273951
0106,Aba North,151958
0107,Ikwuano,196121
0108,Ohafia,349849
0109,Isuikwuato,164684
0110,Obioma Ngwa,258693
0111,Umu-Nneochi,231994
0112,Ukwa West,124257
0113,Isiala Ngwa North,219142
0114,Isiala Ngwa South,194347
0115,Osisioma Ngwa,313833
0116,Ugwunagbo,121417
0117,Umuahia North,317347
0201,Abaji,174111
0202,Bwari,680720
0203,Abuja Municipal,2304848
0204,Gwagwalada,470941
0205,Kuje,288685
0206,Kwali,255852
0301,Demsa,257381
0302,Fufore,306313
0303,Ganye,245461
0304,Mubi South,190036
0305,Girei,201357
0306,Gombi,214540
0307,Madagali,156099
0308,Guyuk,254764
0309,Hong,246742
0310,Jada,243427
0311,Yola South,295978
0312,Lamurde,160906
0313,Maiha,170758
0314,Mayo-Belwa,220702
0315,Michika,229308
0316,Mubi North,226135
0317,Numan,133213
0318,Shelleng,214803
0319,Song,283178
0320,Toungo,75678
0321,Yola North,296436
0401,Abak,213855
0402,Onna,189440
0403,Essien Udim,297181
0404,Nsit Ibom,166224
0405,Eket,265811
0406,Mbo,157117
0407,Etinan,259764
0408,Udung Uko,81594
0409,Ikono,202479
0410,Uruan,180177
0411,Ikot Abasi,203920
0412,Ukanafun,192946
0413,Nsit Ubium,195423
0414,Ikot Ekpene,217450
0415,Oruk Anam,264246
0416,Itu,196611
0417,Mkpat Enin,272635
0418,Obat Akara,226489
0419,Ibesikpo Asutan,210867
0420,Ini,152366
0421,Nsit Atai,112864
0422,Ibiono Ibom,290026
0423,Okobo,158009
0424,Eastern Obolo,92220
0425,Oron,134106
0426,Ibeno,115084
0427,Esit Eket,97428
0428,Ika,111904
0429,Urue Offong/Oruk,108783
0430,Etim Ekpo,162885
0431,Uyo,470491
0501,Njikoka,213419
0502,Awka North,161355
0503,Aguata,532088
0504,Orumba North,248478
0505,Ayamelum,227452
0506,Ogbaru,321172
0507,Awka South,272758
0508,Onisha South,197305
0509,Ihiala,434730
0510,Aniocha,408754
0511,Nnewi North,223556
0512,Oyi,241904
0513,Anambra West,240613
0514,Idemili North,619866
0515,Idemili South,297440
0516,Onisha North,181093
0517,Anambra East,218818
0518,Ekwusigwo,227851
0519,Dunukofia,138808
0520,Nnewi South,335618
0521,Orumba South,265416
0601,Alkaleri,504821
0602,Katagum,450592
0603,Bauchi,759236
0604,Bogoro,128877
0605,Damban,230990
0606,Darazo,384355
0607,Dass,138574
0608,Gamawa,437354
0609,Giade,239925
0610,I/Gadau,351419
0611,Jama'Are,180658
0612,Ganjuwa,428219
0613,Zaki,291716
0614,Kirfi,223952
0615,Misau,401985
0616,Ningi,593568
0617,Tafawa Balewa,340320
0618,Toro,532061
0619,Warji,176816
0620,Shira,359833
0701,Brass,267779
0702,Ekermor,392067
0703,Kolokuma/Opokuma,115279
0704,Nembe,190467
0705,Ogbia,261206
0706,Southern Ijaw,468014
0707,Sagbama,271768
0708,Yenagoa,512334
0801,Kwande,365654
0802,Gwer East,248032
0803,Buruku,303262
0804,Guma,285539
0805,Gboko,531367
0806,Ohimini,103955
0807,Ado,271161
0808,Katsina Ala,331579
0809,Ushongo,282264
0810,Makurdi,441736
0811,Gwer West,179873
0812,Agatu,169999
0813,Obi,145158
0814,Oju,247784
0815,Okpokwu,258230
0816,Ogbadibo,192630
0817,Otukpo,391784
0818,Konshisha,333080
0819,Logo,249369
0820,Apa,142325
0821,Vandeikya,344956
0822,Tarka,116736
0823,Ukum,319096
0901,Askira Uba,225567
0902,Hawul,187870
0903,Bama,193340
0904,Kaga,138856
0905,Bayo,126685
0906,Biu,313304
0907,Chibok,113518
0908,Mobbar,177556
0909,Damboa,319806
0910,Dikwa,159772
0911,Nganzai,147800
0912,Ngala,375462
0913,Gubio,240449
0914,Guzamala,151380
0915,Gwoza,304031
0916,Jere,327897
0917,Konduga,173810
0918,Kukawa,238173
0919,Kwaya Kusar,92395
0920,Mafa,30684
0921,Magumeri,232698
0922,Maiduguri Metro,1433150
0923,Abadan,156108
0924,Marte,90429
0925,Monguno,205394
0926,Kala Balge,96731
0927,Shani,161265
1001,Bakassi,46015
1002,Bekwara,153427
1003,Akamkpa,217719
1004,Biase,244488
1005,Calabar South,278523
1006,Boki,271394
1007,Calabar Municipal,267133
1008,Etung,116399
1009,Ikom,238059
1010,Akpabuyo,395957
1011,Abi,209882
1012,Obubra,250936
1013,Obudu,234811
1014,Odukpani,280516
1015,Ogaja,249521
1016,Yala,307670
1017,Obanliku,159442
1018,Yakurr,285441
1101,Ndokwa East,155228
1102,Ika South,251228
1103,Oshimili North,178262
1104,Oshimili South,225620
1105,Bomadi,129353
1106,Burutu,312759
1107,Uvwie,283812
1108,Ethiope East,302181
1109,Aniocha North,156490
1110,Warri North,204742
1111,Ndokwa West,225637
1112,Ukwuani,179007
1113,Warri South West,175253
1114,Ethiope West,304843
1115,Aniocha South,213608
1116,Isoko South,353620
1117,Okpe,193087
1118,Udu,214251
1119,Ughelli South,319769
1120,Ika North East,274926
1121,Isoko North,215887
1122,Patani,101345
1123,Sapele,262073
1124,Ughelli North,482257
1125,Warri South,469146
1201,Abakaliki,215283
1202,Afikpo North,225302
1203,Ezza North,210199
1204,Ikwo,309181
1205,Ishielu,219452
1206,Ohaukwu,281259
1207,Izzi,340245
1208,Ivo,174553
1209,Onicha,340306
1210,Afikpo South,226584
1211,Ohaozara,213319
1212,Ezza South,192187
1213,Ebonyi,182985
1301,Orhionwon,261614
1302,Owan East,219863
1303,Etsako East,209490
1304,Etsako West,282916
1305,Oredo,532508
1306,Uhunmwode,173110
1307,Esan West,181598
1308,Etsako Central,133979
1309,Ikpoba Okha,529922
1310,Akoko Edo,372001
1311,Igueben,99923
1312,Ovia South West,196320
1313,Esan Central,149639
1314,Ovia North East,220878
1315,Owan West,140844
1316,Esan South East,236468
1317,Esan North East,173671
1318,Egor,483842
1401,Ado Ekiti,466380
1402,Ekiti West,267020
1403,Efon,129628
1404,Emure,140147
1405,Ido-Osi,237880
1406,Irepodun/Ifelodun,196179
1407,Ijero,329870
1408,Ikere,220869
1409,Ikole,253363
1410,Ekiti South West,245443
1411,Ise/Orun,169417
1412,Ilejemeji,64611
1413,Aiyekire,220038
1414,Ekiti East,205679
1415,Moba,216186
1416,Oye,204870
1501,Igbo Eze South,216720
1502,Nkanu West,216749
1503,Ezeagu,250895
1504,Nkanu East,225877
1505,Agwu,290147
1506,Enugu North,356102
1507,Igbo Eze North,380643
1508,Isi Uzo,218532
1509,Aninri,200331
1510,Enugu East,407542
1511,Nsukka,455086
1512,Udenu,262784
1513,Igbo Etiti,306380
1514,Oji River,189333
1515,Udi,350461
1516,Uzo Uwani,186991
1517,Enugu South,291233
1601,Funakaye,357438
1602,Billiri,304794
1603,Shomgom,226998
1604,Yamaltu/Deba,384567
1605,Dukku,312283
1606,Gombe,401285
1607,Kaltungo,241202
1608,Akko,507443
1609,Kwami,291734
1610,Nafada,210815
1611,Balanga,318043
