Object_ID,Location,City,Housing_Units,Year_Built,Monthly_Rent_Range,Latitude,Longitude
1,Nigeria,Kwale,4,2017,136517,8.17,3.02
2,Nigeria,Kamba,5,2017,208988,8.44,3.57
3,Nigeria,Igbor,4,2017,196136,6.37,3.46
4,Nigeria,Uga,5,2023,80402,7.96,2.9
5,Nigeria,Nafada,2,2018,218801,9.23,4.17
6,Nigeria,Madara,3,2015,220732,7.98,4.55
7,Nigeria,Ibeto,1,2022,74777,7.19,3.08
8,Nigeria,Oke Ila,1,2023,190888,9.16,5.94
9,Nigeria,Eha Amufu,2,2022,51493,7.56,2.76
10,Nigeria,Birnin Kebbi,5,2015,50674,7.18,5.76
11,Nigeria,Katagum,3,2021,243256,8.55,2.84
12,Nigeria,Kende,1,2021,180302,8.76,2.9
13,Nigeria,Biliri,1,2017,239557,7.36,5.25
14,Nigeria,Omu Aran,2,2016,74290,6.42,4.42
15,Nigeria,Nsukka,2,2021,52580,6.81,4.46
16,Nigeria,Isu,5,2016,101622,6.33,3.32
17,Nigeria,Ndeaboh,3,2023,221068,8.41,3.55
18,Nigeria,Obolo-Eke (1),5,2014,70111,7.06,5.63
19,Nigeria,Ngurore,1,2017,130439,8.15,3.9
20,Nigeria,Onueke,1,2021,235546,8.87,3.61
21,Nigeria,Wamba,4,2018,67597,8.71,5.62
22,Nigeria,Sauri,1,2020,242482,9.29,2.92
23,Nigeria,Gajiram,5,2020,235424,7.22,3.7
24,Nigeria,Umunede,2,2023,242156,8.44,3.18
25,Nigeria,Gwandu,5,2015,53655,8.33,3.32
26,Nigeria,Gambaru,2,2018,222537,7.95,3.84
27,Nigeria,Kaura Namoda,4,2014,142201,7.72,5.03
28,Nigeria,Sade,4,2018,137240,7.17,4.48
29,Nigeria,Elele,1,2020,173488,8.2,4.88
30,Nigeria,Madagali,3,2022,94892,8.9,4.11
31,Nigeria,Ondo,5,2013,166794,7.39,3.71
32,Nigeria,Onitsha,2,2020,168728,6.53,3.07
33,Nigeria,Amper,5,2023,64226,7.49,4.52
34,Nigeria,Kajuru,1,2023,102780,7.35,3.93
35,Nigeria,Takum,4,2014,71634,6.76,3.44
36,Nigeria,Magumeri,2,2013,185775,8.75,5.33
37,Nigeria,Madala,4,2020,139885,7.91,3.64
38,Nigeria,Dutsin Ma,3,2023,140682,9.22,4.48
39,Nigeria,Jibiya,1,2022,146666,7.93,3.09
40,Nigeria,Kajuru,4,2014,181584,8.59,5.9
41,Nigeria,Okpoga,2,2018,240784,9.3,4.9
42,Nigeria,Kwali,1,2021,213250,8.25,3.62
43,Nigeria,Kwali,5,2020,232085,8.52,5.43
44,Nigeria,Badeggi,4,2018,148177,7.08,5.17
45,Nigeria,Bida,2,2019,208349,6.88,2.79
46,Nigeria,Ibeto,2,2023,237469,6.91,5.03
47,Nigeria,Orerokpe,3,2019,184726,7.47,5.66
48,Nigeria,Oke Ila,5,2020,236115,6.52,3.28
49,Nigeria,Buni Yadi,5,2022,123599,8.33,3.94
50,Nigeria,Bomadi,5,2015,164852,6.75,5.13
51,Nigeria,Keffi,3,2013,107061,7.64,4.35
52,Nigeria,Rabah,1,2019,185308,8.35,5.21
53,Nigeria,Ijebu-Ife,3,2020,151926,8.32,2.78
54,Nigeria,Mekkaw,5,2016,152950,8.81,4.52
55,Nigeria,Orlu,3,2014,201184,7.5,4.14
56,Nigeria,Tofa,2,2021,244423,8.93,3.71
57,Nigeria,Bokkos,2,2014,110350,8.68,5.29
58,Nigeria,Mokwa,5,2016,248234,8.73,3.27
59,Nigeria,Gusau,1,2021,96518,7.94,4.68
60,Nigeria,Gambaru,1,2016,57505,7.7,2.7
61,Nigeria,Ikot-Ekpene,1,2017,56877,7.33,3.99
62,Nigeria,Bode Sadu,4,2022,82456,7.46,4.73
63,Nigeria,Lokoja,3,2021,203407,6.41,3.01
64,Nigeria,Auna,2,2013,218567,8.58,3.05
65,Nigeria,Gembu,3,2013,184761,7.13,3.93
66,Nigeria,Uromi,3,2017,108538,9.32,5.15
67,Nigeria,Gorgoram,3,2014,87449,7.19,4.32
68,Nigeria,Lapai,4,2016,117740,8.76,4.05
69,Nigeria,Musawa,3,2017,80210,6.54,4.99
70,Nigeria,Zaki Biam,3,2017,147620,6.64,5.6
71,Nigeria,Ogaminan,4,2023,55462,6.94,2.77
72,Nigeria,Wasagu,3,2016,125771,8.23,3.29
73,Nigeria,Effium,2,2017,186798,9.1,3.84
74,Nigeria,Rijau,2,2013,228836,7.75,3.81
75,Nigeria,Saki,3,2014,197286,7.33,3.73
76,Nigeria,Badeggi,1,2018,222035,8.94,3.59
77,Nigeria,Patani,3,2020,146516,9.25,5.1
78,Nigeria,Sokoto,2,2018,94960,8.47,3.48
79,Nigeria,Gwio Kura,4,2013,176916,7.92,3.37
80,Nigeria,Ebute Ikorodu,2,2017,195727,7.87,5.77
81,Nigeria,Orlu,2,2023,117121,7.21,2.79
82,Nigeria,Mayo Belwa,3,2020,78010,7.44,3.82
83,Nigeria,Obiaruku Quarters,4,2018,113030,6.99,5.67
84,Nigeria,Kontagora,5,2015,208817,8.35,5.3
85,Nigeria,Danja,2,2018,138470,8.93,3.5
86,Nigeria,Yelwa,1,2022,218125,8.97,3.5
87,Nigeria,Gumel,2,2021,201404,7.04,3.41
88,Nigeria,Sabon Gari-Nangere,2,2022,197483,9.0,5.14
89,Nigeria,Babana,2,2023,79373,7.21,3.78
90,Nigeria,Dindima,3,2019,93487,8.54,3.39
91,Nigeria,Agbani,3,2014,136120,7.23,4.22
92,Nigeria,Dan Sadau,5,2022,51730,7.14,5.91
93,Nigeria,Katsina,5,2021,69726,7.61,5.83
94,Nigeria,Madara,2,2016,75101,8.82,3.63
95,Nigeria,Obonoma,2,2016,141695,6.4,5.75
96,Nigeria,Bassa,3,2023,130340,7.2,5.6
97,Nigeria,Ndeaboh,3,2014,240540,6.8,4.59
98,Nigeria,Wawa,4,2019,96036,8.22,5.9
99,Nigeria,Nafada,5,2021,209929,7.52,3.14
100,Nigeria,Ajasse Ipo,4,2016,133635,7.65,5.46
101,Nigeria,Okpo,2,2015,182086,7.93,2.87
102,Nigeria,Ozubulu,4,2017,50264,8.57,4.34
103,Nigeria,Illela,1,2018,110793,6.76,3.21
104,Nigeria,Okuta,1,2013,74081,6.64,4.24
105,Nigeria,Eha Amufu,2,2023,220836,6.42,3.56
106,Nigeria,Konkwesso,5,2019,57257,8.5,4.29
107,Nigeria,Shagamu,2,2014,162473,6.55,5.09
108,Nigeria,Awgu,2,2015,89305,6.78,5.43
109,Nigeria,Kishi,2,2022,105177,9.13,2.82
110,Nigeria,Konduga,3,2020,93519,7.61,3.29
111,Nigeria,Monguno,2,2022,125411,7.4,4.54
112,Nigeria,Tambawel,5,2017,130040,7.59,4.97
113,Nigeria,Mekkaw,2,2015,123164,7.78,2.82
114,Nigeria,Agbani,5,2016,159778,7.76,4.14
115,Nigeria,Oji River,3,2014,249442,6.7,3.12
116,Nigeria,Mekkaw,2,2023,124066,8.11,4.04
117,Nigeria,Oke Ila,3,2013,163936,7.84,4.04
118,Nigeria,Etinan,1,2014,156828,6.87,4.83
119,Nigeria,Olupona,3,2015,62863,7.34,4.09
120,Nigeria,Ode,2,2020,112977,9.37,4.25
121,Nigeria,Bassa,4,2020,142637,7.58,3.81
122,Nigeria,Owo,2,2020,160997,8.84,2.7
123,Nigeria,Okigwi,1,2014,176170,8.36,5.87
124,Nigeria,Langtang,3,2017,165903,9.19,2.83
125,Nigeria,Rabah,5,2017,178623,9.14,3.38
126,Nigeria,Giade,3,2018,160786,7.16,2.83
127,Nigeria,Idah,4,2018,199974,7.44,3.07
128,Nigeria,Samamiya,3,2020,189174,7.79,3.24
129,Nigeria,Nafada,3,2018,209538,9.01,5.05
130,Nigeria,Gwandu,5,2017,181737,8.46,5.61
